,0
0,0.006547041707080504
1,0.04194956353055286
2,0.05771096023278371
3,0.06983511154219205
4,0.07153249272550921
5,0.08583899127061105
6,0.07953443258971872
7,0.07516973811833172
8,0.07710960232783705
9,0.07904946653734239
10,0.06304558680892337
11,0.0511639185257032
12,0.04485935984481086
13,0.038554801163918524
14,0.028855480116391854
15,0.026430649854510185
16,0.01915615906886518
17,0.02061105722599418
18,0.011881668283220174
19,0.009456838021338506
20,0.009699321047526674
21,0.006547041707080504
22,0.004122211445198836
23,0.0036372453928225023
24,0.002909796314258002
25,0.0036372453928225023
26,0.0019398642095053346
27,0.00048496605237633366
28,0.00048496605237633366
29,0.0
30,0.0009699321047526673
31,0.00024248302618816683
32,0.00048496605237633366
33,0.0007274490785645005
34,0.001454898157129001
35,0.00024248302618816683
36,0.00048496605237633366
37,0.0007274490785645005
38,0.00048496605237633366
39,0.001454898157129001
40,0.0
41,0.0
42,0.0
43,0.0
44,0.00048496605237633366
45,0.0
46,0.00024248302618816683
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.00024248302618816683
